день,хмарність,опади,денна температура повітря,нічна температура повітря,сила вітру,період
13,53%,-,-0.5°C,-5.0°C,3 м/с,2023-01
14,78%,-,1.0°C,-1.0°C,3 м/с,2023-01
15,83%,-,1.5°C,0.0°C,3 м/с,2023-01
16,97%,-,1.5°C,1.0°C,4 м/с,2023-01
17,100%,-,4.5°C,3.0°C,7 м/с,2023-01
18,96%,-,9.0°C,6.0°C,7 м/с,2023-01
19,82%,-,7.5°C,5.0°C,4 м/с,2023-01
20,72%,-,10.0°C,7.5°C,4 м/с,2023-01
21,36%,-,3.5°C,2.5°C,4 м/с,2023-01
22,5%,-,5.5°C,1.5°C,3 м/с,2023-01
23,11%,-,4.0°C,-0.5°C,3 м/с,2023-01
24,8%,-,2.0°C,-2.0°C,2 м/с,2023-01
25,0%,-,3.0°C,-2.0°C,1 м/с,2023-01
26,26%,-,0.5°C,-2.5°C,2 м/с,2023-01
27,43%,-,1.0°C,-1.0°C,2 м/с,2023-01
28,11%,-,0.5°C,-3.0°C,3 м/с,2023-01
29,72%,-,0.5°C,-2.5°C,2 м/с,2023-01
30,37%,-,1.5°C,-2.0°C,4 м/с,2023-01
31,98%,-,1.5°C,-1.0°C,3 м/с,2023-01
1,21%,-,-1.0°C,-5.0°C,3 м/с,2022-12
2,80%,-,-1.0°C,-3.0°C,3 м/с,2022-12
3,64%,-,0.0°C,-2.0°C,4 м/с,2022-12
4,15%,-,-1.0°C,-3.5°C,5 м/с,2022-12
5,12%,-,-3.0°C,-5.5°C,4 м/с,2022-12
6,16%,-,-2.5°C,-6.0°C,5 м/с,2022-12
7,92%,1 м.м.,-1.0°C,-5.0°C,5 м/с,2022-12
8,49%,-,-0.5°C,-1.0°C,2 м/с,2022-12
9,96%,-,1.0°C,-3.5°C,2 м/с,2022-12
10,92%,-,5.0°C,1.0°C,4 м/с,2022-12
11,100%,4 м.м.,9.0°C,2.0°C,5 м/с,2022-12
12,77%,2 м.м.,-0.5°C,-0.5°C,3 м/с,2022-12
13,92%,-,-1.0°C,-3.0°C,3 м/с,2022-12
14,75%,-,-3.5°C,-4.5°C,3 м/с,2022-12
15,98%,1 м.м.,0.5°C,-3.0°C,6 м/с,2022-12
16,89%,3 м.м.,0.5°C,-4.0°C,4 м/с,2022-12
17,100%,3 м.м.,2.0°C,1.5°C,3 м/с,2022-12
18,87%,-,-4.0°C,-3.5°C,6 м/с,2022-12
19,8%,-,-4.5°C,-9.5°C,3 м/с,2022-12
20,86%,-,0.0°C,-4.0°C,6 м/с,2022-12
21,43%,-,1.5°C,0.0°C,3 м/с,2022-12
22,86%,-,2.5°C,0.0°C,3 м/с,2022-12
23,70%,-,3.5°C,0.5°C,3 м/с,2022-12
24,91%,-,6.0°C,3.5°C,2 м/с,2022-12
25,99%,-,2.0°C,3.5°C,3 м/с,2022-12
26,86%,1 м.м.,1.0°C,0.5°C,3 м/с,2022-12
27,96%,4 м.м.,5.5°C,2.5°C,5 м/с,2022-12
28,67%,-,2.5°C,1.0°C,5 м/с,2022-12
29,48%,-,3.5°C,1.0°C,5 м/с,2022-12
30,47%,-,5.5°C,2.0°C,4 м/с,2022-12
31,53%,-,6.0°C,1.0°C,4 м/с,2022-12
1,54%,-,9.5°C,3.0°C,2 м/с,2022-11
2,34%,-,12.0°C,6.5°C,3 м/с,2022-11
3,94%,1 м.м.,10.0°C,8.0°C,3 м/с,2022-11
4,50%,-,11.0°C,8.0°C,1 м/с,2022-11
5,33%,-,10.0°C,5.0°C,4 м/с,2022-11
6,90%,-,8.5°C,5.0°C,4 м/с,2022-11
7,58%,-,9.0°C,7.0°C,4 м/с,2022-11
8,41%,-,11.5°C,6.0°C,3 м/с,2022-11
9,11%,-,12.5°C,6.0°C,3 м/с,2022-11
10,48%,-,13.5°C,6.0°C,4 м/с,2022-11
11,75%,1 м.м.,11.5°C,8.5°C,3 м/с,2022-11
12,25%,-,12.5°C,6.0°C,4 м/с,2022-11
13,20%,-,13.0°C,8.5°C,4 м/с,2022-11
14,35%,-,8.0°C,3.5°C,2 м/с,2022-11
15,23%,-,8.5°C,2.5°C,4 м/с,2022-11
16,90%,2 м.м.,4.5°C,3.5°C,3 м/с,2022-11
17,94%,1 м.м.,1.0°C,0.5°C,4 м/с,2022-11
18,58%,-,0.0°C,-3.0°C,3 м/с,2022-11
19,100%,5 м.м.,0.0°C,-0.5°C,5 м/с,2022-11
20,91%,1 м.м.,-1.0°C,-6.5°C,3 м/с,2022-11
21,100%,6 м.м.,1.0°C,-1.0°C,2 м/с,2022-11
22,79%,-,-1.0°C,-2.5°C,4 м/с,2022-11
23,59%,-,-0.5°C,-4.0°C,1 м/с,2022-11
24,100%,2 м.м.,2.0°C,0.5°C,3 м/с,2022-11
25,100%,1 м.м.,2.0°C,2.0°C,3 м/с,2022-11
26,100%,1 м.м.,1.0°C,1.0°C,3 м/с,2022-11
27,99%,1 м.м.,0.0°C,-0.5°C,3 м/с,2022-11
28,100%,-,0.0°C,-2.5°C,1 м/с,2022-11
29,100%,-,1.5°C,1.0°C,3 м/с,2022-11
30,64%,1 м.м.,0.0°C,-2.0°C,3 м/с,2022-11
1,48%,-,19.0°C,14.5°C,3 м/с,2022-10
2,97%,4 м.м.,12.0°C,14.0°C,6 м/с,2022-10
3,98%,2 м.м.,12.0°C,8.0°C,7 м/с,2022-10
4,100%,2 м.м.,9.5°C,7.0°C,5 м/с,2022-10
5,71%,-,11.0°C,7.5°C,4 м/с,2022-10
6,10%,-,19.5°C,9.5°C,4 м/с,2022-10
7,7%,-,18.0°C,11.0°C,3 м/с,2022-10
8,1%,-,18.5°C,8.5°C,2 м/с,2022-10
9,62%,-,14.5°C,9.0°C,3 м/с,2022-10
10,9%,-,16.0°C,7.5°C,5 м/с,2022-10
11,9%,-,14.5°C,5.5°C,2 м/с,2022-10
12,42%,-,14.0°C,9.0°C,3 м/с,2022-10
13,63%,-,12.5°C,9.0°C,1 м/с,2022-10
14,38%,-,12.0°C,9.0°C,2 м/с,2022-10
15,3%,-,13.0°C,5.5°C,3 м/с,2022-10
16,3%,-,13.0°C,4.5°C,3 м/с,2022-10
17,20%,-,15.0°C,4.5°C,3 м/с,2022-10
18,7%,-,19.5°C,9.5°C,4 м/с,2022-10
19,59%,-,14.5°C,11.0°C,5 м/с,2022-10
20,99%,-,4.5°C,4.0°C,6 м/с,2022-10
21,22%,-,9.5°C,2.0°C,2 м/с,2022-10
22,63%,-,11.5°C,5.0°C,4 м/с,2022-10
23,99%,2 м.м.,11.0°C,8.5°C,3 м/с,2022-10
24,87%,-,14.0°C,10.5°C,3 м/с,2022-10
25,74%,1 м.м.,14.5°C,11.0°C,2 м/с,2022-10
26,76%,1 м.м.,13.0°C,11.0°C,4 м/с,2022-10
27,73%,-,11.5°C,9.5°C,4 м/с,2022-10
28,26%,-,13.5°C,8.5°C,3 м/с,2022-10
29,26%,-,16.5°C,9.5°C,4 м/с,2022-10
30,46%,-,12.5°C,12.5°C,6 м/с,2022-10
31,18%,-,11.0°C,8.5°C,5 м/с,2022-10
1,22%,-,21.5°C,14.0°C,3 м/с,2022-09
2,13%,-,20.5°C,10.5°C,2 м/с,2022-09
3,50%,-,18.5°C,13.0°C,2 м/с,2022-09
4,9%,-,20.0°C,9.5°C,3 м/с,2022-09
5,36%,-,18.5°C,12.5°C,3 м/с,2022-09
6,33%,-,14.5°C,7.5°C,3 м/с,2022-09
7,6%,-,18.5°C,6.5°C,2 м/с,2022-09
8,17%,-,20.5°C,9.0°C,2 м/с,2022-09
9,41%,-,17.5°C,7.5°C,4 м/с,2022-09
10,100%,5 м.м.,11.0°C,9.5°C,6 м/с,2022-09
11,78%,1 м.м.,16.5°C,13.0°C,4 м/с,2022-09
12,95%,1 м.м.,12.0°C,11.5°C,3 м/с,2022-09
13,95%,1 м.м.,13.0°C,10.5°C,4 м/с,2022-09
14,65%,1 м.м.,16.5°C,11.0°C,4 м/с,2022-09
15,85%,2 м.м.,13.5°C,13.0°C,3 м/с,2022-09
16,57%,-,17.0°C,13.0°C,3 м/с,2022-09
17,90%,-,14.5°C,13.0°C,2 м/с,2022-09
18,95%,1 м.м.,14.5°C,11.0°C,6 м/с,2022-09
19,66%,-,16.5°C,10.0°C,6 м/с,2022-09
20,91%,4 м.м.,9.5°C,9.0°C,3 м/с,2022-09
21,91%,1 м.м.,11.0°C,9.0°C,4 м/с,2022-09
22,84%,-,11.0°C,9.0°C,3 м/с,2022-09
23,94%,-,12.0°C,7.0°C,3 м/с,2022-09
24,59%,-,13.0°C,8.0°C,5 м/с,2022-09
25,35%,-,15.5°C,6.5°C,4 м/с,2022-09
26,90%,-,14.5°C,10.5°C,2 м/с,2022-09
27,73%,2 м.м.,15.5°C,11.5°C,1 м/с,2022-09
28,78%,-,16.5°C,11.0°C,3 м/с,2022-09
29,58%,-,17.0°C,9.0°C,3 м/с,2022-09
30,54%,-,21.5°C,13.5°C,1 м/с,2022-09
1,37%,1 м.м.,29.5°C,19.0°C,4 м/с,2022-08
2,80%,3 м.м.,19.0°C,18.5°C,3 м/с,2022-08
3,75%,2 м.м.,23.5°C,17.0°C,4 м/с,2022-08
4,72%,-,25.5°C,17.5°C,4 м/с,2022-08
5,70%,-,26.0°C,18.0°C,3 м/с,2022-08
6,17%,-,30.5°C,18.5°C,3 м/с,2022-08
7,37%,1 м.м.,29.5°C,21.5°C,3 м/с,2022-08
8,43%,-,23.5°C,17.0°C,3 м/с,2022-08
9,39%,-,23.5°C,17.5°C,3 м/с,2022-08
10,58%,-,23.0°C,17.0°C,3 м/с,2022-08
11,76%,3 м.м.,23.5°C,17.0°C,4 м/с,2022-08
12,66%,1 м.м.,24.0°C,19.0°C,4 м/с,2022-08
13,36%,-,29.5°C,20.0°C,5 м/с,2022-08
14,15%,-,30.5°C,20.0°C,5 м/с,2022-08
15,34%,-,29.0°C,21.0°C,6 м/с,2022-08
16,66%,1 м.м.,21.0°C,22.0°C,4 м/с,2022-08
17,40%,-,29.0°C,17.5°C,2 м/с,2022-08
18,14%,-,33.0°C,18.5°C,4 м/с,2022-08
19,25%,-,26.5°C,19.0°C,4 м/с,2022-08
20,62%,-,25.0°C,18.0°C,2 м/с,2022-08
21,25%,-,28.5°C,17.0°C,2 м/с,2022-08
22,15%,-,31.0°C,19.5°C,3 м/с,2022-08
23,3%,-,34.0°C,20.0°C,5 м/с,2022-08
24,7%,-,33.5°C,20.0°C,4 м/с,2022-08
25,5%,-,33.5°C,19.5°C,4 м/с,2022-08
26,9%,-,36.5°C,20.5°C,4 м/с,2022-08
27,24%,-,31.5°C,21.0°C,4 м/с,2022-08
28,6%,-,35.5°C,20.0°C,2 м/с,2022-08
29,29%,-,33.5°C,18.0°C,3 м/с,2022-08
30,12%,-,30.0°C,18.5°C,4 м/с,2022-08
31,23%,-,22.5°C,15.5°C,3 м/с,2022-08
1,2%,-,28.0°C,19.5°C,3 м/с,2022-07
2,0%,-,29.5°C,17.5°C,3 м/с,2022-07
3,31%,-,28.0°C,17.0°C,1 м/с,2022-07
4,17%,-,30.5°C,19.0°C,1 м/с,2022-07
5,15%,-,32.0°C,21.5°C,1 м/с,2022-07
6,40%,-,30.5°C,21.5°C,3 м/с,2022-07
7,40%,-,23.5°C,15.0°C,4 м/с,2022-07
8,49%,-,20.0°C,18.0°C,4 м/с,2022-07
9,38%,-,20.5°C,16.5°C,4 м/с,2022-07
10,42%,-,23.0°C,15.0°C,4 м/с,2022-07
11,41%,-,22.5°C,16.0°C,5 м/с,2022-07
12,72%,1 м.м.,20.5°C,13.5°C,6 м/с,2022-07
13,92%,3 м.м.,13.5°C,14.0°C,7 м/с,2022-07
14,50%,-,23.5°C,14.0°C,5 м/с,2022-07
15,44%,-,22.5°C,16.5°C,3 м/с,2022-07
16,29%,-,24.5°C,14.5°C,3 м/с,2022-07
17,48%,-,20.5°C,16.0°C,4 м/с,2022-07
18,45%,-,21.0°C,12.0°C,4 м/с,2022-07
19,63%,-,19.5°C,15.0°C,3 м/с,2022-07
20,23%,-,26.0°C,15.0°C,5 м/с,2022-07
21,28%,-,26.0°C,14.0°C,6 м/с,2022-07
22,19%,-,26.5°C,16.5°C,4 м/с,2022-07
23,11%,-,29.5°C,17.5°C,3 м/с,2022-07
24,34%,1 м.м.,29.5°C,19.0°C,3 м/с,2022-07
25,62%,-,23.0°C,16.5°C,4 м/с,2022-07
26,25%,-,27.5°C,15.5°C,3 м/с,2022-07
27,31%,-,28.0°C,17.5°C,2 м/с,2022-07
28,29%,-,27.5°C,17.5°C,3 м/с,2022-07
29,30%,-,29.0°C,17.5°C,2 м/с,2022-07
30,45%,-,30.0°C,19.5°C,3 м/с,2022-07
31,15%,-,30.0°C,19.5°C,4 м/с,2022-07
1,39%,-,24.0°C,12.0°C,2 м/с,2022-06
2,47%,1 м.м.,27.0°C,16.5°C,2 м/с,2022-06
3,15%,-,23.0°C,14.0°C,3 м/с,2022-06
4,19%,-,23.5°C,14.0°C,2 м/с,2022-06
5,60%,-,18.0°C,15.5°C,3 м/с,2022-06
6,19%,-,22.5°C,13.0°C,3 м/с,2022-06
7,30%,-,24.0°C,16.0°C,1 м/с,2022-06
8,27%,-,26.0°C,18.5°C,2 м/с,2022-06
9,22%,-,26.5°C,21.0°C,3 м/с,2022-06
10,20%,-,28.0°C,18.5°C,3 м/с,2022-06
11,9%,-,30.5°C,19.0°C,1 м/с,2022-06
12,20%,-,27.5°C,19.0°C,3 м/с,2022-06
13,22%,-,26.5°C,18.5°C,2 м/с,2022-06
14,48%,1 м.м.,21.0°C,18.0°C,5 м/с,2022-06
15,27%,-,19.5°C,12.5°C,4 м/с,2022-06
16,38%,-,21.5°C,13.0°C,3 м/с,2022-06
17,66%,3 м.м.,19.5°C,17.0°C,2 м/с,2022-06
18,56%,-,21.0°C,13.0°C,2 м/с,2022-06
19,12%,-,28.0°C,15.5°C,3 м/с,2022-06
20,0%,-,32.0°C,18.5°C,4 м/с,2022-06
21,47%,1 м.м.,21.0°C,19.5°C,6 м/с,2022-06
22,70%,1 м.м.,18.0°C,11.5°C,4 м/с,2022-06
23,81%,-,19.5°C,14.5°C,6 м/с,2022-06
24,26%,-,24.0°C,16.5°C,5 м/с,2022-06
25,24%,-,25.5°C,16.0°C,3 м/с,2022-06
26,36%,-,27.5°C,18.5°C,4 м/с,2022-06
27,25%,-,29.5°C,19.0°C,3 м/с,2022-06
28,24%,1 м.м.,32.5°C,21.0°C,3 м/с,2022-06
29,36%,2 м.м.,33.5°C,21.0°C,2 м/с,2022-06
30,31%,-,28.0°C,18.5°C,3 м/с,2022-06
1,29%,-,15.5°C,7.5°C,1 м/с,2022-05
2,31%,-,17.0°C,7.5°C,3 м/с,2022-05
3,67%,-,17.5°C,10.0°C,3 м/с,2022-05
4,29%,-,15.0°C,10.0°C,5 м/с,2022-05
5,21%,-,13.5°C,5.0°C,3 м/с,2022-05
6,14%,-,16.5°C,6.5°C,3 м/с,2022-05
7,50%,-,17.0°C,8.5°C,3 м/с,2022-05
8,58%,-,19.0°C,12.5°C,4 м/с,2022-05
9,31%,-,16.0°C,12.0°C,4 м/с,2022-05
10,22%,-,15.5°C,7.0°C,3 м/с,2022-05
11,12%,-,17.5°C,7.0°C,3 м/с,2022-05
12,36%,-,27.0°C,12.0°C,6 м/с,2022-05
13,38%,-,18.0°C,12.0°C,3 м/с,2022-05
14,74%,1 м.м.,18.5°C,13.0°C,4 м/с,2022-05
15,47%,-,16.5°C,9.5°C,5 м/с,2022-05
16,27%,-,17.5°C,8.5°C,4 м/с,2022-05
17,23%,-,18.0°C,8.5°C,5 м/с,2022-05
18,71%,1 м.м.,9.0°C,5.0°C,5 м/с,2022-05
19,26%,-,18.5°C,7.0°C,4 м/с,2022-05
20,53%,-,20.5°C,11.0°C,3 м/с,2022-05
21,60%,1 м.м.,20.0°C,14.5°C,6 м/с,2022-05
22,87%,-,11.5°C,11.0°C,7 м/с,2022-05
23,53%,1 м.м.,17.5°C,9.5°C,3 м/с,2022-05
24,11%,-,18.5°C,9.0°C,3 м/с,2022-05
25,33%,-,21.0°C,11.0°C,2 м/с,2022-05
26,67%,2 м.м.,19.5°C,13.5°C,6 м/с,2022-05
27,64%,1 м.м.,19.5°C,13.0°C,6 м/с,2022-05
28,39%,-,17.0°C,10.0°C,4 м/с,2022-05
29,38%,-,18.5°C,10.5°C,3 м/с,2022-05
30,86%,4 м.м.,15.5°C,12.5°C,4 м/с,2022-05
31,39%,-,17.0°C,13.5°C,3 м/с,2022-05
